fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.505,0.526,26.0,12.9,135.0,116.0,1
0.4,0.207,30.0,11.1,162.0,112.0,1
0.442,0.444,27.0,14.2,154.0,127.0,1
0.465,0.333,25.0,16.8,149.0,135.0,0
0.513,0.4,21.0,9.9,156.0,130.0,0
0.451,0.226,12.0,19.6,144.0,120.0,0
0.472,0.235,17.0,14.9,154.0,109.0,0
0.5,0.563,18.0,17.6,138.0,106.0,1
0.386,0.323,15.0,13.3,155.0,118.0,0
0.471,0.423,14.0,11.3,183.0,103.0,1
0.429,0.333,12.0,11.0,200.0,136.0,0
0.488,0.5,17.0,7.7,248.0,135.0,1
0.444,0.333,10.0,7.7,160.0,117.0,1
0.467,0.258,21.0,9.9,157.0,125.0,1
0.5,0.357,20.0,11.8,147.0,120.0,0
0.446,0.341,15.0,12.6,168.0,106.0,1
0.471,0.286,16.0,9.7,155.0,100.0,0
0.539,0.448,20.0,15.7,224.0,135.0,1
0.522,0.528,17.0,12.4,240.0,120.0,1
0.512,0.355,20.0,13.0,176.0,124.0,0
0.438,0.276,20.0,9.0,250.0,123.0,1
0.451,0.208,21.0,8.0,139.0,113.0,0
0.513,0.474,7.0,16.8,145.0,93.0,1
0.448,0.4,18.0,7.3,154.0,127.0,0
0.457,0.341,21.0,10.5,171.0,134.0,1
0.432,0.432,8.0,13.8,134.0,119.0,0
0.549,0.28,14.0,13.5,175.0,114.0,0
0.486,0.474,15.0,14.4,137.0,105.0,0
0.505,0.436,14.0,10.0,200.0,117.0,0
0.543,0.393,15.0,12.9,209.0,114.0,1
0.462,0.364,24.0,8.1,147.0,120.0,1
0.298,0.152,18.0,14.9,160.0,118.0,1
0.43,0.297,11.0,9.2,131.0,122.0,1
0.396,0.357,22.0,12.7,239.0,101.0,1
0.372,0.174,38.0,13.6,142.0,108.0,1
0.393,0.207,16.0,14.0,162.0,110.0,0
0.571,0.367,9.0,10.9,203.0,119.0,0
0.537,0.417,21.0,13.3,146.0,127.0,1
0.562,0.405,9.0,10.5,214.0,121.0,1
0.38,0.313,12.0,13.9,148.0,112.0,1
0.558,0.345,22.0,11.6,203.0,124.0,1
0.453,0.321,11.0,11.6,138.0,117.0,0
0.462,0.444,17.0,11.5,195.0,124.0,0
0.488,0.219,24.0,13.9,158.0,116.0,0
0.527,0.341,9.0,14.9,189.0,101.0,1
0.51,0.424,6.0,15.5,163.0,102.0,1
0.5,0.379,23.0,12.3,183.0,129.0,0
0.474,0.261,24.0,11.6,200.0,145.0,1
0.448,0.265,6.0,15.0,147.0,99.0,0
0.412,0.219,12.0,19.8,121.0,120.0,1
0.42,0.222,18.0,14.1,117.0,112.0,0
0.423,0.294,23.0,18.6,154.0,118.0,1
0.439,0.28,10.0,14.5,137.0,110.0,1
0.427,0.268,12.0,10.4,144.0,131.0,0
0.489,0.308,13.0,11.7,158.0,110.0,1
0.456,0.267,17.0,12.7,180.0,142.0,0
0.436,0.4,8.0,13.3,163.0,111.0,0
0.494,0.368,18.0,14.6,155.0,120.0,1
0.405,0.524,29.0,11.9,300.0,118.0,0
0.437,0.303,17.0,14.3,139.0,101.0,1
0.487,0.25,15.0,17.4,132.0,125.0,1
0.409,0.429,8.0,10.5,200.0,122.0,0
0.398,0.317,15.0,12.2,250.0,115.0,0
0.478,0.565,21.0,8.1,230.0,125.0,0
0.517,0.5,19.0,11.5,195.0,135.0,1
0.524,0.296,5.0,15.9,166.0,125.0,1
0.423,0.367,19.0,14.6,135.0,99.0,0
0.521,0.5,33.0,11.9,172.0,137.0,0
0.459,0.351,13.0,13.9,148.0,114.0,1
0.472,0.226,24.0,8.9,209.0,116.0,0
0.528,0.48,15.0,9.3,235.0,120.0,0
0.57,0.625,22.0,11.0,190.0,116.0,1
0.534,0.426,26.0,10.0,300.0,151.0,0
0.542,0.4,15.0,11.4,164.0,118.0,0
0.468,0.387,16.0,14.0,260.0,116.0,0
0.476,0.593,26.0,10.1,176.0,126.0,1
0.454,0.4,18.0,13.7,146.0,103.0,1
0.442,0.349,29.0,11.3,161.0,123.0,1
0.411,0.346,19.0,11.4,172.0,104.0,1
0.482,0.515,11.0,14.7,220.0,123.0,0
0.44,0.308,18.0,14.3,132.0,105.0,1
0.505,0.292,24.0,8.9,154.0,122.0,1
0.356,0.216,8.0,14.0,161.0,109.0,1
0.443,0.421,19.0,1.8,165.0,131.0,0
0.359,0.1,23.0,9.4,130.0,113.0,0
0.432,0.25,22.0,11.3,250.0,126.0,0
0.46,0.208,21.0,13.3,130.0,121.0,0
0.482,0.316,19.0,8.7,137.0,109.0,0
0.549,0.381,20.0,9.8,221.0,137.0,0
0.484,0.425,10.0,14.7,145.0,101.0,1
0.486,0.444,16.0,10.7,222.0,121.0,1
0.447,0.348,18.0,7.7,200.0,106.0,1
0.513,0.52,18.0,14.9,177.0,135.0,1
0.404,0.31,10.0,9.0,138.0,105.0,0
0.459,0.318,16.0,14.6,156.0,137.0,1
0.461,0.381,20.0,13.1,147.0,128.0,1
0.541,0.435,27.0,14.5,188.0,123.0,1
0.414,0.281,14.0,7.7,134.0,129.0,0
